"photo_id","country","country_slug","file_path","display_order","candidate_city","alt_text_draft","rights_status","metadata_status","review_status","notes"
"country-andorra-02","Andorra","andorra","/images/countries/andorra/andorra-old-stone-bridge.webp","1","","An old stone bridge in Andorra.","owner_provided","stripped","pending_review","Country-level photo; no City relationship by owner decision"
"country-andorra-03","Andorra","andorra","/images/countries/andorra/andorra-christmas-lights.webp","2","","Christmas lights in Andorra la Vella.","owner_provided","stripped","pending_review","Country-level photo; no City relationship by owner decision"
"country-andorra-01","Andorra","andorra","/images/countries/andorra/canillo-suspension-bridge.webp","3","","A suspension bridge above the mountains in Canillo.","owner_provided","stripped","pending_review","Country-level photo; no City relationship by owner decision"
"country-austria-01","Austria","austria","/images/countries/austria/austrian-alps-panorama.webp","1","","A panoramic view of the Austrian Alps.","owner_provided","stripped","pending_review","Country-level scene; City relationship requires owner review"
"country-austria-02","Austria","austria","/images/countries/austria/salzburg-cityscape.webp","2","Salzburg","The Salzburg cityscape and surrounding mountains.","owner_provided","stripped","pending_review",""
"country-austria-03","Austria","austria","/images/countries/austria/salzburg-residenzplatz.webp","3","Salzburg","Residenzplatz in Salzburg.","owner_provided","stripped","pending_review",""
"country-belgium-01","Belgium","belgium","/images/countries/belgium/brussels-grand-place.webp","1","Brussels","Grand-Place in Brussels.","owner_provided","stripped","pending_review",""
"country-belgium-02","Belgium","belgium","/images/countries/belgium/ghent-historic-center.webp","2","Gent","The historic center of Ghent.","owner_provided","stripped","pending_review",""
"country-belgium-03","Belgium","belgium","/images/countries/belgium/bruges-market-square.webp","3","Brugge","The historic market square in Bruges.","owner_provided","stripped","pending_review",""
"country-czechia-02","Czechia","czechia","/images/countries/czechia/karlovy-vary-winter-square.webp","1","Karlovy Vary","A snow-covered square in Karlovy Vary.","owner_provided","stripped","pending_review",""
"country-czechia-01","Czechia","czechia","/images/countries/czechia/prague-st-vitus-cathedral.webp","2","Prague","St. Vitus Cathedral in Prague.","owner_provided","stripped","pending_review",""
"country-czechia-03","Czechia","czechia","/images/countries/czechia/prague-national-museum-night.webp","3","Prague","The National Museum in Prague at night.","owner_provided","stripped","pending_review",""
"country-france-02","France","france","/images/countries/france/colmar-petite-venise.webp","1","Colmar","The Petite Venise district in Colmar.","owner_provided","stripped","pending_review",""
"country-france-03","France","france","/images/countries/france/nice-carnival-parade.webp","2","Nice","A carnival parade in Nice.","owner_provided","stripped","pending_review",""
"country-france-01","France","france","/images/countries/france/paris-louvre-pyramid-night.webp","3","Paris","The Louvre Pyramid in Paris at night.","owner_provided","stripped","pending_review",""
"country-germany-02","Germany","germany","/images/countries/germany/konigssee-lake.webp","1","Königssee","Königssee lake in the Bavarian Alps.","owner_provided","stripped","pending_review",""
"country-germany-01","Germany","germany","/images/countries/germany/berlin-brandenburg-gate.webp","2","Berlin","The Brandenburg Gate in Berlin.","owner_provided","stripped","pending_review",""
"country-germany-03","Germany","germany","/images/countries/germany/bavarian-alpine-lake-winter.webp","3","","A Bavarian alpine lake in winter.","owner_provided","stripped","pending_review","Country-level scene; City relationship requires owner review"
"country-hungary-02","Hungary","hungary","/images/countries/hungary/budapest-heritage-train.webp","1","Budapest","A heritage train in Budapest.","owner_provided","stripped","pending_review",""
"country-hungary-01","Hungary","hungary","/images/countries/hungary/budapest-parliament-night.webp","2","Budapest","The Hungarian Parliament Building in Budapest at night.","owner_provided","stripped","pending_review",""
"country-hungary-03","Hungary","hungary","/images/countries/hungary/budapest-yellow-trams.webp","3","Budapest","Yellow trams on a Budapest street.","owner_provided","stripped","pending_review",""
"country-ireland-01","Ireland","ireland","/images/countries/ireland/dublin-trinity-college.webp","1","Dublin","The campus of Trinity College Dublin.","owner_provided","stripped","pending_review",""
"country-ireland-03","Ireland","ireland","/images/countries/ireland/dublin-luas-tram.webp","2","Dublin","A Luas tram in Dublin.","owner_provided","stripped","pending_review",""
